id,name,description,weight,equipSlot,stackable,icon,worldModel
iron_sword,Iron Sword,A sturdy iron longsword.,3,main_hand,false,iron_sword.png,sword.glb
wooden_shield,Wooden Shield,A round wooden shield.,6,off_hand,false,sword.png,
leather_cap,Leather Cap,A simple leather cap.,1,head,false,sword.png,
iron_chestplate,Iron Chestplate,Heavy iron chest armor.,55,chest,false,sword.png,
leather_pants,Leather Pants,Durable leather leggings.,4,pants,false,sword.png,
iron_boots,Iron Boots,Heavy iron boots.,3,boots,false,sword.png,
gold_ring,Gold Ring,A plain gold ring.,0.1,ring,false,sword.png,
silver_necklace,Silver Necklace,A delicate silver chain.,0.3,neck,false,sword.png,
copper_earring,Copper Earring,A small copper earring.,0.1,ear,false,sword.png,
leather_belt,Leather Belt,A wide leather belt.,1,belt,false,sword.png,
dagger,Dagger,A small but sharp dagger.,1,main_hand,false,sword.png,sword.glb
chain_mail,Chain Mail,Interlocking metal rings forming armor.,55,chest,false,sword.png,
torch,Torch,A flickering wooden torch.,1,off_hand,false,torch.png,torch.glb
spear,Spear,A long wooden-shafted spear tipped with iron.,4,main_hand,false,spear_icon.png,spear.glb
